LOC,Business,Phone,Address,Town,Website,Category,DL Info,HDL?,Shoppers Discount,Exp.
1Q,Stables Garden Center,631-667-5122,1141 Deer Park Ave.,N. Babylon,StablesGardens.com,Shop & Discover,"Family owned and operated since 1953, Stables Garden Center is a local Garden and landscaping supply business dedicated to product knowledge and customer service.",Yes,"10% off all items, excludes sales and clearance",8/31/2026
2T,All Town Towing & Repairs,631-226-3300,622A Route 109,Lindenhurst,AllTownTow.com,Live & Work,"Serving the community for 45+ years. AAA repair shop and towing company. Towing, lockout services, battery delivery, and jump-starts. Full automotive repair, 2-year warranty, parts and labor.",,,
3Q,Performax Physical Therapy & Wellness,631-586-6616,150 Bay Shore Rd.,N. Babylon,PerformaxPTW.com,Thrive & Be Well,"Start your recovery right after an injury, work/car accident, surgery, or concussion with expert rehabilitation and care.",Yes,,
4T,StairGlide,631-647-8855,410 Sunrise Hwy.,W. Babylon,StairGlideNY.com,Shop & Discover,"We work with a number of industry-leading manufacturers to provide stair lifts, wheelchair ramps, handicap lifts, and more. Safety and convenience are just a phone call away. ",,$200 off any new stair lift (not to be combined).,8/31/2026
5Q,"Colstan & Associates, Inc.",631-266-2800,"512 Sunrise Hwy., Suite B",W. Babylon,Colstan.com,Live & Work,"Offering comprehensive coverage, including Business, Contractors, Auto, Workers' Comp, Bonds, and Personal Insurance, to safeguard your property and peace of mind.",,,
6D,BK Gynmastics,631-422-0116,25 S. Jerome Ave.,W. Babylon,BKGymnastics.net,Learn & Play,Offering gymnastics for 45 years. Children starting at the age of 13 months. Boys and girls competitive teams.,,,
7Q,North Babylon Dental,631-587-4545,837 Deer Park Ave.,N. Babylon,NorthBabylonDental.com,Thrive & Be Well,"We will make you smile! We provide dental care with a gentle touch. Root canals, crowns, extractions, implants, and more!",Yes,Free exam for new patients.,8/31/2026
8D,A-1 Carpet,631-669-2300,632 Sunrise Hwy.,W. Babylon,Westbabylon.AbbeyCarpet.com,Shop & Discover,"Premier floor covering showplace with a wide selection of carpet, hardwood, laminate, vinyl and tile.  Design professionals on premise. Free in-home measuring and estimates.",,,
9S,Bubble Tea Culture,631-888-3998,1161 Deer Park Ave.,N. Babylon,IG @bubbleteaculture,Eat & Drink,"Handcrafted bubble teas, refreshing fruit teas, and tasty snacks in a fun, welcoming atmosphere. A local favorite for all ages!",,,
10D,Scrap-A-Latte,631-482-9190,877-879 Little East Neck Rd.,W. Babylon,ScrapALatte.net,Shop & Discover,"Making memories last forever!  A fun and friendly local business for all your scrapbooking, card-making, paper crafting and mixed media needs. Classes, Crops, and more!",,,
11D,Perfection Barbershop,631-983-8859,1011 Little East Neck Rd.,W. Babylon,IG @PerfectionBarberz,Thrive & Be Well,Serving the community for 15 years.,,,
13T,The UPS Store,631-242-6245,1488 Deer Park Ave.,N. Babylon,TheUPSStore.com/2520,Shop & Discover,"Serving North Babylon for 30+ years, now in a newly renovated location. We accept any drop-off. Quick convenient services and no lines! Open Sundays.",,,
14Q,Nonna Bella's Pizza Cafe,631-669-1250,765 Deer Park Ave.,N. Babylon,NonnaBellas.com,Eat & Drink,"Staple of the North Babylon community, serving authentic Italian food fresh daily. Signature pizzas and pastas, classic heroes, wraps, and salads. Go-to spot for families, friends, and neighbors alike.",Yes,10% off any order of $25 or more.,8/31/2026
15T,Strega Rose,631-290-8278,777 Deer Park Ave.,N. Babylon,StregaRoseTattooArts.com,Shop & Discover,"Private studio for custom tattoos, holistic wellness, beauty, and mediumship readings. Over 50+ years experience combined. No distractions,  just art, care, and connection.",Yes,,
16T,Mangia Pizza & Italian Restaurant,631-661-6188,785 Deer Park Ave.,N. Babylon,MangiaPizzaNB.com,Eat & Drink,The Mangiapane family loves to cook and has been sharing that tradition with others for over 30 years!. We use fresh quality ingredients cooked to order.,,,
17D,Bergen Point Yacht Basin,631-669-3990,601 Bergen Ave.,W. Babylon,Bergenpointmarina.com,Live & Work,"Complete boat service. Repairs, boat sales, paint, summer dockage, winter storage, fiberglass repair.",,,
