LOC,Business,Phone,Address,Town,Website,Instagram,Facebook,Category,SuperCat,DL Info,HDL?,Shoppers Discount,Exp.,Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1T,LJS Scrap Metal,516-285-5400,3425 Hampton Rd.,Oceanside,,,,Live & Work,Live & Work,"Top dollar paid for all scrap metals, iron, aluminum, steel, copper, brass, wire, junk cars, etc. 70 ft. truck scale. Serving NYC, Nassau & Suffolk. Contractors and homeowners welcome.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2T,South Shore Craft Brewery,516-388-6685,3505 Hampton Rd.,Oceanside,SouthShoreCraftBrewery.com,instagram.com/southshorecraftbrewery,,Eat & Drink,Eat & Drink,"Craft beer brewed and canned on-site, 20 rotating taps in a spacious taproom, featuring live music, family friendly events and private parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3T,James Tech Electric,516-536-6900,400 Atlantic Ave.,East Rockaway,JamesTechElectric.com,instagram.com/JamesTechElectric,,Live & Work,Live & Work,"A trusted local name in electrical services since 2006. Serving Nassau and Suffolk counties, NY, we offer a comprehensive range of services for both residential and commercial customers.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,Sal’s Prime Meats,516-766-8440,3145 Lawson Blvd.,Oceanside,,,,Shop & Discover,Shop & Discover,"An Oceanside staple since 1971. Specializing in quality beef, veal, lamb, pork, turkey and poultry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5D,Express Packaging,516-255-0727,3334 Long Beach Rd.,Oceanside,WhereShipHappens.com,,,Shop & Discover,Shop & Discover,"Ship with UPS, FedEx, and DHL. Offering any size boxes, packing supplies, office supplies, labels, private mail boxes, and eBay buying and selling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6T,D’Cocco’s Pizzeria Restaurant,516-766-3938,3573 Long Beach Rd.,Oceanside,,,,Eat & Drink,Eat & Drink,"Family owned & operated, serving & making the best pizzas & Italian food! A must stop and an Oceanside landmark since 1988! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7T,Oceanside Dental Studio,516-208-4656,3051 Long Beach Rd. Suite 1,Oceanside,OceansideDentalStudioLI.com,,,Thrive & Be Well,Thrive & Be Well,"Providing comprehensive, high-quality dental care with a focus on comfort, advanced technology, and personalized treatment for a healthy, confident smile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8T,Sunny’s Transmissions,516-239-2600,3375 Lawson Blvd.,Oceanside,SunnysTransmission.com,,,Live & Work,Live & Work,Complete transmission rebuild services. Fast turnaround times on all transmission repairs. Car problem? Get a tow to our shop!,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9T,Lia’s Pizzeria & Restaurant,516-764-4971,60 Atlantic Ave.,Oceanside,LiasPizzeriaOceanside.com,,,Eat & Drink,Eat & Drink,"Local favorite for pizza, pasta, and Italian specialties. Where Oceanside neighbors gather, eat, and feel like family.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10D,TJ Automotive,516-766-9132,3401 Long Beach Rd.,Oceanside,,,,Live & Work,Live & Work,"A full service auto repair shop, including custom exhausts, lift kits, rims and tires, NYS inspection, wheel alignment, and diesel repairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
